Well,Well Position,Sample Name,Sample Color,Biogroup Name,Biogroup Color,Target Name,Target Color,Task,Reporter,Quencher,Quantity,Comments,SORT.A,SORT.B
80,D8,Sample_58,"""RGB(0,51,255)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,160,160
81,D9,Sample_66,"""RGB(85,0,255)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,161,161
81,D9,Sample_66,"""RGB(85,0,255)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,162,162
82,D10,Sample_74,"""RGB(221,0,255)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,163,163
82,D10,Sample_74,"""RGB(221,0,255)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,164,164
83,D11,Sample_82,"""RGB(255,0,153)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,165,165
83,D11,Sample_82,"""RGB(255,0,153)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,166,166
84,D12,Sample_90,"""RGB(255,0,17)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,167,167
84,D12,Sample_90,"""RGB(255,0,17)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,168,168
85,D13,Sample_02,"""RGB(255,17,0)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,169,169
85,D13,Sample_02,"""RGB(255,17,0)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,170,170
86,D14,Sample_10,"""RGB(255,153,0)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,171,171
86,D14,Sample_10,"""RGB(255,153,0)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,172,172
87,D15,Sample_18,"""RGB(221,255,0)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,173,173
87,D15,Sample_18,"""RGB(221,255,0)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,174,174
88,D16,Sample_26,"""RGB(85,255,0)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,175,175
88,D16,Sample_26,"""RGB(85,255,0)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,176,176
89,D17,Sample_34,"""RGB(0,255,51)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,177,177
